Daily Dashboard
"October 1, 2024 - October 26, 2025"
Day,Campaign,Campaign status,Currency code,Cost,Avg. CPM,CTR
2024-10-29,TOF - Display New Customer,Paused,INR,249.68,35.35,1.26%
2024-10-30,Brand-Search,Eligible,INR,3624.58,21447.24,40.83%
2024-10-30,Pmax_Rings,Paused,INR,3590.70,128.23,0.92%
2024-10-30,Pmax_Earrings,Paused,INR,1885.34,241.34,1.54%
2024-10-30,BOF-YT-ALL PRODUCTS,Removed,INR,534.91,20.12,5.49%
2024-10-30,Pmax_necklaces,Paused,INR,1383.81,123.24,1.16%
2024-10-30,DISPLAY-Remarketing,Paused,INR,476.71,38.88,1.84%
2024-10-30,TOF - Display New Customer,Paused,INR,293.16,46.61,1.65%
2024-10-31,Brand-Search,Eligible,INR,3050.33,22934.80,28.57%
2024-10-31,Pmax_Rings,Paused,INR,2801.47,126.76,1.12%
2024-10-31,Pmax_Earrings,Paused,INR,1196.84,209.09,1.31%
2024-10-31,BOF-YT-ALL PRODUCTS,Removed,INR,506.82,27.95,5.41%
2024-10-31,Pmax_necklaces,Paused,INR,1587.07,121.31,1.14%
2024-10-31,DISPLAY-Remarketing,Paused,INR,243.39,32.38,1.62%
2024-10-31,TOF - Display New Customer,Paused,INR,253.41,28.72,1.01%
2024-11-01,Brand-Search,Eligible,INR,2192.68,15333.40,35.66%
2024-11-01,Pmax_Rings,Paused,INR,3124.36,115.94,1.07%
2024-11-01,Pmax_Earrings,Paused,INR,1435.93,197.70,1.43%
2024-11-01,BOF-YT-ALL PRODUCTS,Removed,INR,609.43,24.08,5.17%
2024-11-01,Pmax_necklaces,Paused,INR,2485.66,182.07,0.97%
2024-11-01,DISPLAY-Remarketing,Paused,INR,542.70,34.75,1.83%
2024-11-01,TOF - Display New Customer,Paused,INR,321.08,83.74,1.28%
2024-11-02,Brand-Search,Eligible,INR,2296.08,15514.08,38.51%
2024-11-02,Pmax_Rings,Paused,INR,7725.37,120.53,0.61%
2024-11-02,Pmax_Earrings,Paused,INR,919.67,120.87,1.17%
2024-11-02,BOF-YT-ALL PRODUCTS,Removed,INR,642.11,22.25,6.08%
2024-11-02,Pmax_necklaces,Paused,INR,2143.49,109.96,1.13%
2024-11-02,DISPLAY-Remarketing,Paused,INR,548.10,37.81,2.03%
2024-11-02,TOF - Display New Customer,Paused,INR,311.66,50.91,1.45%
2024-11-03,Brand-Search,Eligible,INR,2209.65,15560.94,35.21%
2024-11-03,Pmax_Rings,Paused,INR,6817.05,124.05,0.63%
2024-11-03,Pmax_Earrings,Paused,INR,1100.54,127.91,1.43%
2024-11-03,BOF-YT-ALL PRODUCTS,Removed,INR,634.99,25.49,5.08%
2024-11-03,Pmax_necklaces,Paused,INR,2129.54,140.80,1.22%
2024-11-03,DISPLAY-Remarketing,Paused,INR,533.73,43.74,2.35%
2024-11-03,TOF - Display New Customer,Paused,INR,323.30,60.26,1.96%
2024-11-04,Brand-Search,Eligible,INR,2497.73,13723.79,37.36%
2024-11-04,Pmax_Rings,Paused,INR,6637.34,120.13,0.66%
2024-11-04,Pmax_Earrings,Paused,INR,1007.76,108.69,1.31%
2024-11-04,BOF-YT-ALL PRODUCTS,Removed,INR,625.43,26.09,4.12%
2024-11-04,Pmax_necklaces,Paused,INR,2346.02,129.66,1.04%
2024-11-04,DISPLAY-Remarketing,Paused,INR,554.76,40.64,1.46%
2024-11-04,TOF - Display New Customer,Paused,INR,252.75,28.52,0.97%
2024-11-05,Brand-Search,Eligible,INR,5042.32,32322.54,37.82%
2024-11-05,Pmax_Rings,Paused,INR,3529.35,105.13,1.13%
2024-11-05,Pmax_Earrings,Paused,INR,3178.37,327.46,1.46%
2024-11-05,BOF-YT-ALL PRODUCTS,Removed,INR,631.93,28.11,4.27%
2024-11-05,Pmax_necklaces,Paused,INR,2274.53,209.77,1.22%
2024-11-05,DISPLAY-Remarketing,Paused,INR,522.31,34.80,1.15%
2024-11-05,TOF - Display New Customer,Paused,INR,361.73,31.96,0.83%
2024-11-06,Brand-Search,Eligible,INR,3015.90,22340.00,41.48%
2024-11-06,Pmax_Rings,Paused,INR,4253.95,123.47,1.16%
2024-11-06,Pmax_Earrings,Paused,INR,1886.98,182.48,1.26%
2024-11-06,BOF-YT-ALL PRODUCTS,Removed,INR,631.81,31.02,4.41%
2024-11-06,Pmax_necklaces,Paused,INR,2166.08,108.07,0.91%
2024-11-06,DISPLAY-Remarketing,Paused,INR,502.04,35.16,1.20%
2024-11-06,TOF - Display New Customer,Paused,INR,255.20,27.75,0.78%
2024-11-07,Brand-Search,Eligible,INR,7222.08,40573.50,33.15%
2024-11-07,Pmax_Rings,Paused,INR,3739.32,124.13,1.07%
2024-11-07,Pmax_Earrings,Paused,INR,1374.97,129.13,1.35%
2024-11-07,BOF-YT-ALL PRODUCTS,Removed,INR,636.06,24.78,5.40%
2024-11-07,Pmax_necklaces,Paused,INR,1869.71,111.24,0.93%
2024-11-07,DISPLAY-Remarketing,Paused,INR,526.04,48.04,1.26%
2024-11-07,TOF - Display New Customer,Paused,INR,360.87,28.07,0.85%
2024-11-08,Brand-Search,Eligible,INR,5949.45,38885.30,39.87%
2024-11-08,Pmax_Rings,Paused,INR,3292.32,126.27,0.93%
2024-11-08,Pmax_Earrings,Paused,INR,1356.91,153.43,1.41%
2024-11-08,BOF-YT-ALL PRODUCTS,Removed,INR,632.50,26.11,6.04%
2024-11-08,Pmax_necklaces,Paused,INR,2021.23,101.03,1.08%
2024-11-08,DISPLAY-Remarketing,Paused,INR,534.32,31.60,1.14%
2024-11-08,TOF - Display New Customer,Paused,INR,328.44,40.61,1.17%
2024-11-09,Brand-Search,Eligible,INR,2163.32,12650.97,33.33%
2024-11-09,Pmax_Rings,Paused,INR,2952.84,106.72,1.06%
2024-11-09,Pmax_Earrings,Paused,INR,2693.54,324.99,1.46%
2024-11-09,BOF-YT-ALL PRODUCTS,Removed,INR,629.69,25.72,5.29%
2024-11-09,Pmax_necklaces,Paused,INR,1907.99,106.35,1.11%
2024-11-09,DISPLAY-Remarketing,Paused,INR,482.43,34.12,1.24%
2024-11-09,TOF - Display New Customer,Paused,INR,270.91,37.05,1.07%
2024-11-10,Brand-Search,Eligible,INR,4023.40,24384.26,32.73%
